,count,frequency,english_freq,difference
A,87,13.425925925925927,8.17,5.2559259259259274
D,67,10.339506172839506,4.25,6.089506172839506
U,60,9.25925925925926,2.76,6.49925925925926
H,51,7.87037037037037,6.09,1.7803703703703704
C,49,7.561728395061729,2.78,4.781728395061728
G,40,6.172839506172839,2.02,4.152839506172839
N,30,4.62962962962963,6.75,-2.1203703703703702
I,30,4.62962962962963,6.97,-2.34037037037037
R,28,4.320987654320987,5.99,-1.669012345679013
F,26,4.012345679012346,2.23,1.7823456790123458
Y,21,3.2407407407407405,1.97,1.2707407407407405
L,21,3.2407407407407405,4.03,-0.7892592592592598
E,20,3.0864197530864197,12.7,-9.61358024691358
K,18,2.7777777777777777,0.77,2.0077777777777777
M,17,2.6234567901234565,2.41,0.2134567901234563
Q,17,2.6234567901234565,0.1,2.5234567901234564
V,16,2.4691358024691357,0.98,1.4891358024691357
O,14,2.1604938271604937,7.51,-5.349506172839506
X,11,1.6975308641975309,0.15,1.547530864197531
P,9,1.3888888888888888,1.93,-0.5411111111111111
W,9,1.3888888888888888,2.36,-0.971111111111111
T,4,0.6172839506172839,9.06,-8.442716049382717
J,1,0.15432098765432098,0.15,0.004320987654320985
B,1,0.15432098765432098,1.29,-1.135679012345679
S,1,0.15432098765432098,6.33,-6.175679012345679
Z,0,0.0,0.07,-0.07
