,count,frequency,english_freq,difference
I,60,11.811023622047244,6.97,4.841023622047245
J,56,11.023622047244094,0.15,10.873622047244094
A,50,9.84251968503937,8.17,1.6725196850393704
G,38,7.480314960629922,2.02,5.460314960629923
T,37,7.283464566929133,9.06,-1.7765354330708671
C,32,6.299212598425196,2.78,3.5192125984251965
K,27,5.31496062992126,0.77,4.54496062992126
V,25,4.921259842519685,0.98,3.941259842519685
Q,25,4.921259842519685,0.1,4.8212598425196855
F,23,4.52755905511811,2.23,2.29755905511811
S,18,3.543307086614173,6.33,-2.786692913385827
D,18,3.543307086614173,4.25,-0.7066929133858268
B,17,3.346456692913386,1.29,2.056456692913386
W,13,2.559055118110236,2.36,0.19905511811023624
E,12,2.3622047244094486,12.7,-10.337795275590551
H,9,1.7716535433070866,6.09,-4.318346456692913
N,9,1.7716535433070866,6.75,-4.978346456692913
M,9,1.7716535433070866,2.41,-0.6383464566929136
P,9,1.7716535433070866,1.93,-0.15834645669291336
U,8,1.574803149606299,2.76,-1.1851968503937007
Y,8,1.574803149606299,1.97,-0.3951968503937009
X,3,0.5905511811023622,0.15,0.44055118110236213
L,1,0.19685039370078738,4.03,-3.8331496062992128
R,1,0.19685039370078738,5.99,-5.793149606299213
O,0,0.0,7.51,-7.51
Z,0,0.0,0.07,-0.07
