,count,frequency,english_freq,difference
I,72,12.7208480565371,6.97,5.750848056537101
J,56,9.89399293286219,0.15,9.74399293286219
A,52,9.187279151943462,8.17,1.0172791519434625
T,46,8.12720848056537,9.06,-0.9327915194346303
G,40,7.06713780918728,2.02,5.04713780918728
K,34,6.007067137809187,0.77,5.237067137809188
C,33,5.830388692579505,2.78,3.050388692579505
V,33,5.830388692579505,0.98,4.8503886925795054
Q,27,4.770318021201414,0.1,4.670318021201414
D,25,4.41696113074205,4.25,0.16696113074204977
B,24,4.240282685512367,1.29,2.9502826855123674
F,21,3.7102473498233217,2.23,1.4802473498233217
S,18,3.180212014134275,6.33,-3.149787985865725
W,14,2.4734982332155475,2.36,0.11349823321554764
P,12,2.1201413427561837,1.93,0.19014134275618377
U,11,1.9434628975265018,2.76,-0.816537102473498
M,10,1.76678445229682,2.41,-0.6432155477031802
E,10,1.76678445229682,12.7,-10.93321554770318
H,9,1.5901060070671376,6.09,-4.499893992932862
Y,8,1.4134275618374559,1.97,-0.5565724381625441
N,6,1.0600706713780919,6.75,-5.689929328621908
X,3,0.5300353356890459,0.15,0.3800353356890459
L,1,0.17667844522968199,4.03,-3.8533215547703183
R,1,0.17667844522968199,5.99,-5.813321554770318
O,0,0.0,7.51,-7.51
Z,0,0.0,0.07,-0.07
