ciphertext_num,mood,key_a,key_b,score,ioc,success
1,3,7,6,281,0.06517417571324295,True
2,5,11,10,291,0.0638938403644286,True
3,7,15,14,281,0.06486368593238823,True
4,10,21,20,291,0.06633178773827923,True
5,3,7,6,278,0.06584320960630413,True
